DATA;PIS;COFINS;TUSDd_P_A2_AZUL;TUSDd_FP_A2_AZUL;TUSDe_P_A2_AZUL;TUSDe_FP_A2_AZUL;TE_P_A2_AZUL;TE_FP_A2_AZUL;TUSDd_P_A3_AZUL;TUSDd_FP_A3_AZUL;TUSDe_P_A3_AZUL;TUSDe_FP_A3_AZUL;TE_P_A3_AZUL;TE_FP_A3_AZUL;TUSDd_P_A3a_AZUL;TUSDd_FP_A3a_AZUL;TUSDe_P_A3a_AZUL;TUSDe_FP_A3a_AZUL;TE_P_A3a_AZUL;TE_FP_A3a_AZUL;TUSDd_P_A3a_VERDE;TUSDd_FP_A3a_VERDE;TUSDe_P_A3a_VERDE;TUSDe_FP_A3a_VERDE;TE_P_A3a_VERDE;TE_FP_A3a_VERDE;TUSDd_P_A4_AZUL;TUSDd_FP_A4_AZUL;TUSDe_P_A4_AZUL;TUSDe_FP_A4_AZUL;TE_P_A4_AZUL;TE_FP_A4_AZUL;TUSDd_P_A4_VERDE;TUSDd_FP_A4_VERDE;TUSDe_P_A4_VERDE;TUSDe_FP_A4_VERDE;TE_P_A4_VERDE;TE_FP_A4_VERDE
jul/17;0.5;2.21;8,64;3,47;49,52;49,52;374,63;244,05;14,04;5,22;52,59;52,59;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05;25,19;9,09;57,21;57,21;374,63;244,05;0;0;667,68;57,21;374,63;244,05
ago/17;0.63;2.95;12,49;7,05;35,17;35,17;409,81;264,68;17,88;8,82;38,74;38,74;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68
set/17;0.91;4.2;12,49;7,05;35,17;35,17;409,81;264,68;17,88;8,82;38,74;38,74;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68
out/17;1.15;5.32;12,49;7,05;35,17;35,17;409,81;264,68;17,88;8,82;38,74;38,74;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68
nov/17;;;12,49;7,05;35,17;35,17;409,81;264,68;17,88;8,82;38,74;38,74;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68
dez/17;;;12,49;7,05;35,17;35,17;409,81;264,68;17,88;8,82;38,74;38,74;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68
jan/18;;;12,49;7,05;35,17;35,17;409,81;264,68;17,88;8,82;38,74;38,74;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68
fev/18;;;12,49;7,05;35,17;35,17;409,81;264,68;17,88;8,82;38,74;38,74;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68
mar/18;;;12,49;7,05;35,17;35,17;409,81;264,68;17,88;8,82;38,74;38,74;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68
abr/18;;;12,49;7,05;35,17;35,17;409,81;264,68;17,88;8,82;38,74;38,74;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68
mai/18;;;12,49;7,05;35,17;35,17;409,81;264,68;17,88;8,82;38,74;38,74;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68
jun/18;;;12,49;7,05;35,17;35,17;409,81;264,68;17,88;8,82;38,74;38,74;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68
jul/18;;;12,49;7,05;35,17;35,17;409,81;264,68;17,88;8,82;38,74;38,74;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68
ago/18;;;12,49;7,05;35,17;35,17;409,81;264,68;17,88;8,82;38,74;38,74;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68;28,88;12,65;46;46;409,81;264,68;0;0;746,48;46;409,81;264,68
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
